bgroup10,ylat,xlon,aland,awater
361090013001,42.41782,-76.43734,5.8799963552,0.0102344103525
361090019002,42.326496,-76.342018,26.1429921683,0.0640682505093
361090023001,42.577221,-76.436729,28.6350720544,0.0383013357591
361090017003,42.394859,-76.641678,14.6568833524,0.0219445032178
361090009001,42.463295,-76.559624,4.89499372198,0.0139626129542
361090009003,42.474098,-76.530525,2.29399479843,1.56714046552
361090005002,42.478828,-76.47567,0.305856243349,0.0
361090006001,42.474335,-76.490211,0.647500683401,0.0
361090016002,42.538139,-76.657471,1.29914076822,0.00403669823953
361090016001,42.521889,-76.588608,13.2986967507,3.3145632335
361090015001,42.497971,-76.439407,8.76247611958,0.139778639901
361090020001,42.505291,-76.288223,6.15371190909,0.0253259860663
361090001001,42.440002,-76.497932,0.197041839576,0.00266333280309
361090002002,42.43935,-76.486977,0.067657456328,0.0
361090019001,42.388592,-76.298805,33.2148921153,0.0506712772414
361090011003,42.411476,-76.493759,4.71309867073,0.0277175029382
361090019004,42.299103,-76.4683,24.9428352564,0.104373070454
361090017001,42.471581,-76.636658,17.8847708947,0.0794080899217
361090022002,42.583584,-76.351555,1.41504593844,0.000451739544739
361090021003,42.514721,-76.384857,14.3367112126,0.0709964679373
361090021001,42.537891,-76.292465,13.833750195,0.103788125659
361090003001,42.446442,-76.468163,1.50118533368,0.041696718286
361090006003,42.455009,-76.486801,0.121555003344,0.0
361090007001,42.447739,-76.49157,0.163976821514,0.0022710529933
361090013005,42.440159,-76.480484,0.0947506320493,0.0
361090013003,42.425652,-76.467094,0.992007298876,0.0512562220366
361090005003,42.467865,-76.473503,0.912565618065,0.0011949862316
361090010003,42.427902,-76.516373,1.06740571771,0.0538238015002
361090011002,42.432983,-76.493431,0.145317275601,0.000896143148154
361090023003,42.584522,-76.597557,17.0612670792,6.42650545099
361090018003,42.344799,-76.645851,28.3424390383,0.0744111555729
361090012001,42.421875,-76.495117,0.504328591484,0.00207143816883
361090014002,42.453754,-76.388565,8.84193556109,0.0216255828212
361090020003,42.459553,-76.312279,10.1662664074,0.0143896419597
361090002001,42.44173,-76.486221,0.0597392729233,0.0
361090002003,42.442253,-76.491737,0.0421708517568,0.00062355501261
361090013004,42.435799,-76.481941,0.17884677458,0.00215792505602
361090013002,42.439888,-76.472328,0.228101056839,0.000872977017654
361090014001,42.471382,-76.406509,3.26612671565,0.0881606401265
361090021002,42.492432,-76.3592,5.59499735134,0.0603589669141
361090017002,42.43383,-76.629921,13.6478995269,0.0361171557552
361090018002,42.342571,-76.578613,11.6490435477,0.0173085744027
361090006002,42.463814,-76.486626,0.406180260295,0.0
361090010002,42.436142,-76.503151,0.113344540592,0.00313206084353
361090023002,42.579861,-76.518761,19.9180907402,0.89983312664
361090016003,42.514599,-76.65715,11.3304575156,0.0624883204092
361090004001,42.457199,-76.458717,1.54737743959,0.037901720008
361090019003,42.365204,-76.44236,18.9489924278,0.0683902782561
361090022003,42.569557,-76.373619,11.5955070062,0.0170217004866
361090008002,42.442562,-76.503387,0.143299119533,0.0
361090009002,42.442657,-76.544441,2.32617525641,0.00117259230545
361090005001,42.475105,-76.458649,0.818861709012,0.0149409958656
361090015003,42.51902,-76.497665,7.01545335345,1.21113109404
361090010001,42.409134,-76.558296,10.6437288513,0.04813960528
361090008001,42.445736,-76.508087,0.347366860387,0.0366271967283
361090014003,42.421108,-76.384811,8.37143145065,0.027039507519
361090018001,42.324516,-76.533401,23.7788599793,0.0998406170222
361090020002,42.46846,-76.273819,4.95040865054,0.186771135619
361090022001,42.59919,-76.316628,17.544083988,0.0621821413844
361090006004,42.480499,-76.504517,2.42527803218,1.48210455029
361090007003,42.446255,-76.497543,0.0935776536416,0.0
361090007002,42.45348,-76.503693,0.352568042786,0.0412160210781
361090011001,42.408051,-76.474258,2.4536314454,0.0723080570257
361090015002,42.492493,-76.477242,1.36500091892,0.00179730562458
